Mode,Backend,M,N,k,MPI_Ranks,GridRows,GridCols,OMP_Threads,CUDA_Arch,Run,ParallelTime,SequentialTime,RelativeError,GFLOPS,SpeedUp
Naive_Hybrid,OMP,2000,4000,8,2,0,0,20,,3,0.008868,0.000000,0.00e+00,14.4335,0.0000
Opt_SMP,OMP,2000,4000,8,1,0,0,40,,1,0.015238,0.027388,0.00e+00,8.4002,1.7974
Opt_SMP,OMP,2000,4000,8,1,0,0,40,,2,0.015203,0.000000,0.00e+00,8.4192,0.0000
Opt_SMP,OMP,2000,4000,8,1,0,0,40,,3,0.015122,0.000000,0.00e+00,8.4646,0.0000
Opt_Hybrid,OMP,2000,4000,8,2,0,0,20,,1,0.010465,0.027683,0.00e+00,12.2312,2.6452
Opt_Hybrid,OMP,2000,4000,8,2,0,0,20,,2,0.006683,0.000000,0.00e+00,19.1529,0.0000
Opt_Hybrid,OMP,2000,4000,8,2,0,0,20,,3,0.003748,0.000000,0.00e+00,34.1505,0.0000
Opt_Hybrid,OMP,2000,4000,8,4,0,0,10,,1,0.000980,0.027565,3.35e-06,130.6401,28.1333
Opt_Hybrid,OMP,2000,4000,8,4,0,0,10,,2,0.000978,0.000000,0.00e+00,130.8393,0.0000
Opt_Hybrid,OMP,2000,4000,8,4,0,0,10,,3,0.000973,0.000000,0.00e+00,131.5009,0.0000
Opt_Hybrid,OMP,2000,4000,8,8,0,0,5,,1,0.002983,0.028968,3.35e-06,42.9129,9.7118
Opt_Hybrid,OMP,2000,4000,8,8,0,0,5,,2,0.001091,0.000000,0.00e+00,117.2934,0.0000
