Mode,Backend,M,N,k,MPI_Ranks,GridRows,GridCols,OMP_Threads,CUDA_Arch,Run,ParallelTime,SequentialTime,RelativeError,GFLOPS,SpeedUp
CUDA_Tiled,CUDA,2000,4000,20,1,1,1,,75,3,0.000601,0.000000,0.00e+00,532.0729,0.0000
CUDA_WarpRow,CUDA,2000,4000,20,1,1,1,,75,1,0.000665,0.041450,1.61e-08,480.9272,62.2948
CUDA_WarpRow,CUDA,2000,4000,20,1,1,1,,75,2,0.000670,0.000000,0.00e+00,477.3430,0.0000
CUDA_WarpRow,CUDA,2000,4000,20,1,1,1,,75,3,0.000670,0.000000,0.00e+00,477.8432,0.0000
CUDA_Transposed,CUDA,2000,4000,20,1,1,1,,75,1,0.000457,0.039010,1.61e-08,699.8172,85.3120
CUDA_Transposed,CUDA,2000,4000,20,1,1,1,,75,2,0.000460,0.000000,0.00e+00,695.6358,0.0000
CUDA_Transposed,CUDA,2000,4000,20,1,1,1,,75,3,0.000461,0.000000,0.00e+00,694.4286,0.0000
CUDA_Naive,CUDA,2000,4000,32,1,1,1,,75,1,0.000668,0.057465,1.81e-08,766.8530,86.0684
CUDA_Naive,CUDA,2000,4000,32,1,1,1,,75,2,0.000663,0.000000,0.00e+00,772.5928,0.0000
CUDA_Naive,CUDA,2000,4000,32,1,1,1,,75,3,0.000663,0.000000,0.00e+00,772.3706,0.0000
CUDA_Opt2D,CUDA,2000,4000,32,1,1,1,,75,1,0.000667,0.056952,1.81e-08,767.1418,85.3327
CUDA_Opt2D,CUDA,2000,4000,32,1,1,1,,75,2,0.000663,0.000000,0.00e+00,772.3959,0.0000
CUDA_Opt2D,CUDA,2000,4000,32,1,1,1,,75,3,0.000664,0.000000,0.00e+00,771.3723,0.0000
CUDA_Tiled,CUDA,2000,4000,32,1,1,1,,75,1,0.000602,0.054823,1.81e-08,850.3110,91.0480
CUDA_Tiled,CUDA,2000,4000,32,1,1,1,,75,2,0.000606,0.000000,0.00e+00,845.2159,0.0000
CUDA_Tiled,CUDA,2000,4000,32,1,1,1,,75,3,0.000606,0.000000,0.00e+00,844.6719,0.0000
CUDA_WarpRow,CUDA,2000,4000,32,1,1,1,,75,1,0.000660,0.059669,1.81e-08,775.4354,90.3701
CUDA_WarpRow,CUDA,2000,4000,32,1,1,1,,75,2,0.000657,0.000000,0.00e+00,779.6905,0.0000
CUDA_WarpRow,CUDA,2000,4000,32,1,1,1,,75,3,0.000656,0.000000,0.00e+00,780.1503,0.0000
CUDA_Transposed,CUDA,2000,4000,32,1,1,1,,75,1,0.000708,0.056695,1.81e-08,723.1033,80.0710
CUDA_Transposed,CUDA,2000,4000,32,1,1,1,,75,2,0.000701,0.000000,0.00e+00,730.2638,0.0000
CUDA_Transposed,CUDA,2000,4000,32,1,1,1,,75,3,0.000704,0.000000,0.00e+00,727.2338,0.0000
CUDA_Naive,CUDA,2000,4000,64,1,1,1,,75,1,0.001166,0.106296,0.00e+00,878.4231,91.1844
CUDA_Naive,CUDA,2000,4000,64,1,1,1,,75,2,0.001166,0.000000,0.00e+00,878.4049,0.0000
CUDA_Naive,CUDA,2000,4000,64,1,1,1,,75,3,0.001166,0.000000,0.00e+00,878.4538,0.0000
CUDA_Opt2D,CUDA,2000,4000,64,1,1,1,,75,1,0.001166,0.105645,0.00e+00,877.8646,90.5681
CUDA_Opt2D,CUDA,2000,4000,64,1,1,1,,75,2,0.001168,0.000000,0.00e+00,877.0725,0.0000
CUDA_Opt2D,CUDA,2000,4000,64,1,1,1,,75,3,0.001165,0.000000,0.00e+00,878.7826,0.0000
CUDA_Tiled,CUDA,2000,4000,64,1,1,1,,75,1,0.000900,0.109257,0.00e+00,1137.2421,121.3397
CUDA_Tiled,CUDA,2000,4000,64,1,1,1,,75,2,0.000899,0.000000,0.00e+00,1138.4473,0.0000
CUDA_Tiled,CUDA,2000,4000,64,1,1,1,,75,3,0.000904,0.000000,0.00e+00,1133.2556,0.0000
CUDA_WarpRow,CUDA,2000,4000,64,1,1,1,,75,1,0.001310,0.104196,0.00e+00,781.9195,79.5636
CUDA_WarpRow,CUDA,2000,4000,64,1,1,1,,75,2,0.001303,0.000000,0.00e+00,785.9645,0.0000
CUDA_WarpRow,CUDA,2000,4000,64,1,1,1,,75,3,0.001309,0.000000,0.00e+00,782.1961,0.0000
CUDA_Transposed,CUDA,2000,4000,64,1,1,1,,75,1,0.001824,0.106024,0.00e+00,561.3926,58.1260
CUDA_Transposed,CUDA,2000,4000,64,1,1,1,,75,2,0.001821,0.000000,0.00e+00,562.4015,0.0000
CUDA_Transposed,CUDA,2000,4000,64,1,1,1,,75,3,0.001820,0.000000,0.00e+00,562.7583,0.0000
CUDA_Naive,CUDA,2000,4000,128,1,1,1,,75,1,0.002159,0.232601,1.28e-08,948.4092,107.7152
CUDA_Naive,CUDA,2000,4000,128,1,1,1,,75,2,0.002175,0.000000,0.00e+00,941.5033,0.0000
CUDA_Naive,CUDA,2000,4000,128,1,1,1,,75,3,0.002174,0.000000,0.00e+00,941.9606,0.0000
CUDA_Opt2D,CUDA,2000,4000,128,1,1,1,,75,1,0.002168,0.234676,1.28e-08,944.7584,108.2580
CUDA_Opt2D,CUDA,2000,4000,128,1,1,1,,75,2,0.002169,0.000000,0.00e+00,944.2731,0.0000
CUDA_Opt2D,CUDA,2000,4000,128,1,1,1,,75,3,0.002174,0.000000,0.00e+00,941.8372,0.0000
CUDA_Tiled,CUDA,2000,4000,128,1,1,1,,75,1,0.001776,0.236456,1.28e-08,1152.8836,133.1086
CUDA_Tiled,CUDA,2000,4000,128,1,1,1,,75,2,0.001770,0.000000,0.00e+00,1157.3054,0.0000
CUDA_Tiled,CUDA,2000,4000,128,1,1,1,,75,3,0.001780,0.000000,0.00e+00,1150.5778,0.0000
CUDA_WarpRow,CUDA,2000,4000,128,1,1,1,,75,1,0.002588,0.227607,1.28e-08,791.4813,87.9622
CUDA_WarpRow,CUDA,2000,4000,128,1,1,1,,75,2,0.002567,0.000000,0.00e+00,797.7750,0.0000
CUDA_WarpRow,CUDA,2000,4000,128,1,1,1,,75,3,0.002566,0.000000,0.00e+00,798.1659,0.0000
CUDA_Transposed,CUDA,2000,4000,128,1,1,1,,75,1,0.004242,0.239369,1.28e-08,482.8182,56.4315
CUDA_Transposed,CUDA,2000,4000,128,1,1,1,,75,2,0.004286,0.000000,0.00e+00,477.8221,0.0000
CUDA_Transposed,CUDA,2000,4000,128,1,1,1,,75,3,0.004237,0.000000,0.00e+00,483.3624,0.0000
CUDA_Naive,CUDA,4000,2000,3,1,1,1,,75,1,0.000601,0.027170,0.00e+00,79.8408,45.1940
CUDA_Naive,CUDA,4000,2000,3,1,1,1,,75,2,0.000601,0.000000,0.00e+00,79.8413,0.0000
CUDA_Naive,CUDA,4000,2000,3,1,1,1,,75,3,0.000606,0.000000,0.00e+00,79.2588,0.0000
CUDA_Opt2D,CUDA,4000,2000,3,1,1,1,,75,1,0.000605,0.026582,0.00e+00,79.3511,43.9441
CUDA_Opt2D,CUDA,4000,2000,3,1,1,1,,75,2,0.000601,0.000000,0.00e+00,79.8062,0.0000
CUDA_Opt2D,CUDA,4000,2000,3,1,1,1,,75,3,0.000601,0.000000,0.00e+00,79.8649,0.0000
CUDA_Tiled,CUDA,4000,2000,3,1,1,1,,75,1,0.000458,0.026276,0.00e+00,104.9115,57.4312
CUDA_Tiled,CUDA,4000,2000,3,1,1,1,,75,2,0.000458,0.000000,0.00e+00,104.9096,0.0000
CUDA_Tiled,CUDA,4000,2000,3,1,1,1,,75,3,0.000461,0.000000,0.00e+00,104.1348,0.0000
CUDA_WarpRow,CUDA,4000,2000,3,1,1,1,,75,1,0.000594,0.031153,0.00e+00,80.7527,52.4108
CUDA_WarpRow,CUDA,4000,2000,3,1,1,1,,75,2,0.000590,0.000000,0.00e+00,81.3305,0.0000
CUDA_WarpRow,CUDA,4000,2000,3,1,1,1,,75,3,0.000590,0.000000,0.00e+00,81.4203,0.0000
