Mode,Backend,M,N,k,MPI_Ranks,Run,ParallelTime,DistribTime,TransferTime
CUDA_Tiled,CUDA,6000,2000,32,1,1,0.000614,0.000233,0.177947
CUDA_Tiled,CUDA,6000,2000,32,1,2,0.000613,0.000226,0.179520
CUDA_Tiled,CUDA,6000,2000,32,1,3,0.000614,0.000230,0.178026
CUDA_Naive,CUDA,6000,2000,64,1,1,0.001658,0.000450,0.180945
CUDA_Naive,CUDA,6000,2000,64,1,2,0.001671,0.000447,0.180614
CUDA_Naive,CUDA,6000,2000,64,1,3,0.001671,0.000449,0.180301
CUDA_Tiled,CUDA,6000,2000,64,1,1,0.001208,0.000445,0.181023
CUDA_Tiled,CUDA,6000,2000,64,1,2,0.001208,0.000448,0.184240
CUDA_Tiled,CUDA,6000,2000,64,1,3,0.001208,0.000446,0.183305
CUDA_Naive,CUDA,6000,2000,128,1,1,0.003190,0.000910,0.181593
CUDA_Naive,CUDA,6000,2000,128,1,2,0.003191,0.000910,0.179396
CUDA_Naive,CUDA,6000,2000,128,1,3,0.003175,0.000912,0.187064
CUDA_Tiled,CUDA,6000,2000,128,1,1,0.002389,0.000913,0.178609
CUDA_Tiled,CUDA,6000,2000,128,1,2,0.002387,0.000910,0.178442
CUDA_Tiled,CUDA,6000,2000,128,1,3,0.002393,0.000904,0.182981
CUDA_Naive,CUDA,4000,4000,3,1,1,0.001225,0.000032,0.186893
CUDA_Naive,CUDA,4000,4000,3,1,2,0.001226,0.000032,0.182614
CUDA_Naive,CUDA,4000,4000,3,1,3,0.001225,0.000032,0.186510
CUDA_Tiled,CUDA,4000,4000,3,1,1,0.000899,0.000032,0.188710
CUDA_Tiled,CUDA,4000,4000,3,1,2,0.000907,0.000033,0.187447
CUDA_Tiled,CUDA,4000,4000,3,1,3,0.000899,0.000032,0.191522
CUDA_Naive,CUDA,4000,4000,6,1,1,0.001219,0.000061,0.182872
CUDA_Naive,CUDA,4000,4000,6,1,2,0.001219,0.000061,0.197827
CUDA_Naive,CUDA,4000,4000,6,1,3,0.001229,0.000080,0.181363
CUDA_Tiled,CUDA,4000,4000,6,1,1,0.000908,0.000065,0.187961
CUDA_Tiled,CUDA,4000,4000,6,1,2,0.000908,0.000062,0.183655
CUDA_Tiled,CUDA,4000,4000,6,1,3,0.000908,0.000061,0.183428
CUDA_Naive,CUDA,4000,4000,8,1,1,0.001208,0.000067,0.183169
CUDA_Naive,CUDA,4000,4000,8,1,2,0.001218,0.000067,0.180096
CUDA_Naive,CUDA,4000,4000,8,1,3,0.001208,0.000072,0.180307
CUDA_Tiled,CUDA,4000,4000,8,1,1,0.000899,0.000067,0.183205
CUDA_Tiled,CUDA,4000,4000,8,1,2,0.000899,0.000067,0.182286
CUDA_Tiled,CUDA,4000,4000,8,1,3,0.000903,0.000067,0.182400
CUDA_Naive,CUDA,4000,4000,20,1,1,0.001237,0.000297,0.181040
CUDA_Naive,CUDA,4000,4000,20,1,2,0.001234,0.000288,0.182975
CUDA_Naive,CUDA,4000,4000,20,1,3,0.001234,0.000293,0.185235
CUDA_Tiled,CUDA,4000,4000,20,1,1,0.000900,0.000287,0.180649
CUDA_Tiled,CUDA,4000,4000,20,1,2,0.000901,0.000294,0.183152
CUDA_Tiled,CUDA,4000,4000,20,1,3,0.000900,0.000289,0.181021
CUDA_Naive,CUDA,4000,4000,32,1,1,0.001213,0.000473,0.183025
CUDA_Naive,CUDA,4000,4000,32,1,2,0.001216,0.000451,0.188986
CUDA_Naive,CUDA,4000,4000,32,1,3,0.001218,0.000451,0.180819
CUDA_Tiled,CUDA,4000,4000,32,1,1,0.000901,0.000472,0.186261
CUDA_Tiled,CUDA,4000,4000,32,1,2,0.000901,0.000461,0.188214
CUDA_Tiled,CUDA,4000,4000,32,1,3,0.000901,0.000462,0.183139
CUDA_Naive,CUDA,4000,4000,64,1,1,0.002232,0.000896,0.182972
CUDA_Naive,CUDA,4000,4000,64,1,2,0.002218,0.000906,0.189186
