Mode,M,N,k,MPI_Ranks,OMP_Threads,Run,ParallelTime,SequentialTime,RelativeError,GFLOPS,SpeedUp
Opt_Hybrid,2000,2000,32,8,5,5,0.007059,0.000000,0.00e+00,36.2643,0.0000
Serial,4000,4000,3,1,1,1,0.034793,0.049093,0.00e+00,2.7591,1.4110
Serial,4000,4000,3,1,1,2,0.034964,0.000000,0.00e+00,2.7457,0.0000
Serial,4000,4000,3,1,1,3,0.034805,0.000000,0.00e+00,2.7582,0.0000
Serial,4000,4000,3,1,1,4,0.035262,0.000000,0.00e+00,2.7225,0.0000
Serial,4000,4000,3,1,1,5,0.034785,0.000000,0.00e+00,2.7598,0.0000
Naive_SMP,4000,4000,3,1,40,1,0.042833,0.047553,0.00e+00,2.2413,1.1102
Naive_SMP,4000,4000,3,1,40,2,0.044093,0.000000,0.00e+00,2.1772,0.0000
Naive_SMP,4000,4000,3,1,40,3,0.044020,0.000000,0.00e+00,2.1808,0.0000
Naive_SMP,4000,4000,3,1,40,4,0.043959,0.000000,0.00e+00,2.1839,0.0000
Naive_SMP,4000,4000,3,1,40,5,0.043969,0.000000,0.00e+00,2.1834,0.0000
Naive_Hybrid,4000,4000,3,2,20,1,0.002608,0.047559,0.00e+00,36.8070,18.2344
Naive_Hybrid,4000,4000,3,2,20,2,0.002588,0.000000,0.00e+00,37.0963,0.0000
Naive_Hybrid,4000,4000,3,2,20,3,0.002579,0.000000,0.00e+00,37.2260,0.0000
Naive_Hybrid,4000,4000,3,2,20,4,0.002592,0.000000,0.00e+00,37.0381,0.0000
Naive_Hybrid,4000,4000,3,2,20,5,0.002621,0.000000,0.00e+00,36.6320,0.0000
Opt_SMP,4000,4000,3,1,40,1,0.034610,0.047640,0.00e+00,2.7738,1.3765
Opt_SMP,4000,4000,3,1,40,2,0.034641,0.000000,0.00e+00,2.7713,0.0000
Opt_SMP,4000,4000,3,1,40,3,0.034119,0.000000,0.00e+00,2.8137,0.0000
Opt_SMP,4000,4000,3,1,40,4,0.034514,0.000000,0.00e+00,2.7815,0.0000
Opt_SMP,4000,4000,3,1,40,5,0.034157,0.000000,0.00e+00,2.8106,0.0000
Opt_Hybrid,4000,4000,3,2,20,1,0.002103,0.047912,0.00e+00,45.6589,22.7878
Opt_Hybrid,4000,4000,3,2,20,2,0.002097,0.000000,0.00e+00,45.7693,0.0000
Opt_Hybrid,4000,4000,3,2,20,3,0.002075,0.000000,0.00e+00,46.2636,0.0000
Opt_Hybrid,4000,4000,3,2,20,4,0.002074,0.000000,0.00e+00,46.2931,0.0000
Opt_Hybrid,4000,4000,3,2,20,5,0.002105,0.000000,0.00e+00,45.6072,0.0000
Opt_Hybrid,4000,4000,3,4,10,1,0.002075,0.050785,1.25e-15,46.2563,24.4703
Opt_Hybrid,4000,4000,3,4,10,2,0.002103,0.000000,0.00e+00,45.6512,0.0000
Opt_Hybrid,4000,4000,3,4,10,3,0.002115,0.000000,0.00e+00,45.3972,0.0000
Opt_Hybrid,4000,4000,3,4,10,4,0.002094,0.000000,0.00e+00,45.8520,0.0000
Opt_Hybrid,4000,4000,3,4,10,5,0.002124,0.000000,0.00e+00,45.1878,0.0000
Opt_Hybrid,4000,4000,3,8,5,1,0.007704,0.050241,1.25e-15,12.4603,6.5210
Opt_Hybrid,4000,4000,3,8,5,2,0.007783,0.000000,0.00e+00,12.3342,0.0000
Opt_Hybrid,4000,4000,3,8,5,3,0.008987,0.000000,0.00e+00,10.6821,0.0000
Opt_Hybrid,4000,4000,3,8,5,4,0.007861,0.000000,0.00e+00,12.2119,0.0000
Opt_Hybrid,4000,4000,3,8,5,5,0.006248,0.000000,0.00e+00,15.3648,0.0000
Serial,4000,4000,6,1,1,1,0.047517,0.062861,0.00e+00,4.0407,1.3229
Serial,4000,4000,6,1,1,2,0.047259,0.000000,0.00e+00,4.0627,0.0000
Serial,4000,4000,6,1,1,3,0.047118,0.000000,0.00e+00,4.0749,0.0000
Serial,4000,4000,6,1,1,4,0.046970,0.000000,0.00e+00,4.0877,0.0000
Serial,4000,4000,6,1,1,5,0.047200,0.000000,0.00e+00,4.0678,0.0000
Naive_SMP,4000,4000,6,1,40,1,0.059773,0.063002,0.00e+00,3.2121,1.0540
Naive_SMP,4000,4000,6,1,40,2,0.061126,0.000000,0.00e+00,3.1411,0.0000
Naive_SMP,4000,4000,6,1,40,3,0.061069,0.000000,0.00e+00,3.1440,0.0000
Naive_SMP,4000,4000,6,1,40,4,0.061250,0.000000,0.00e+00,3.1347,0.0000
Naive_SMP,4000,4000,6,1,40,5,0.060604,0.000000,0.00e+00,3.1681,0.0000
Naive_Hybrid,4000,4000,6,2,20,1,0.003851,0.063032,0.00e+00,49.8610,16.3690
Naive_Hybrid,4000,4000,6,2,20,2,0.003867,0.000000,0.00e+00,49.6534,0.0000
Naive_Hybrid,4000,4000,6,2,20,3,0.003858,0.000000,0.00e+00,49.7696,0.0000
Naive_Hybrid,4000,4000,6,2,20,4,0.003858,0.000000,0.00e+00,49.7647,0.0000
